x1,x2,x3,v1,v2,v3,f
26.861520000000002,49.01848,116.85,-0.169548,0.244774,116.85,0.228479
46.2028,75.5972,143.75,-0.140129,0.392903,143.75,0.347193
128.67988,92.80011999999999,103.85,0.094065,0.7144520000000001,103.85,0.004588
155.039267,148.76073300000002,117.95,0.012,0.98,117.95,0.015066
152.227973,121.892027,118.05,0.06425800000000001,0.884258,118.05,0.015455000000000002
206.64,103.32,147.2,0.193548,0.999871,147.2,0.02087
30.8,15.4,123.95,0.193548,0.149032,123.95,0.012803
97.219173,137.420827,104.4,-0.099484,0.756903,104.4,0.0065049999999999995
129.724,99.876,116.4,0.07548400000000001,0.740645,116.4,0.012401
58.74390699999999,40.096092999999996,106.75,0.109548,0.318839,106.75,0.006813
192.48516,117.47483999999999,115.75,0.140516,0.999871,115.75,0.004647
184.63284,125.32716,106.1,0.111097,0.999871,106.1,0.0017460000000000002
162.96,81.48,117.4,0.193548,0.788516,117.4,0.004594
194.88,97.44,101.6,0.193548,0.942968,101.6,0.0010429999999999999
98.976827,165.903173,102.2,-0.14670999999999998,0.854452,102.2,0.005321
56.938,41.062,121.9,0.094065,0.316129,121.9,0.033101
50.441347,48.398653,106.65,0.012,0.318839,106.65,0.015746
206.64,103.32,123.5,0.193548,0.999871,123.5,0.008298999999999999
186.18264,123.77736000000002,104.8,0.11690299999999999,0.999871,104.8,0.0010539999999999998
96.133333,48.066666999999995,123.5,0.193548,0.465161,123.5,0.009884
117.22666699999999,58.613333,114.65,0.193548,0.567226,114.65,0.00507
26.661413,38.578587,105.7,-0.106065,0.210452,105.7,0.057543
85.43304,88.44696,112.85,-0.010065000000000001,0.5609029999999999,112.85,0.021416
134.85826699999998,86.34173299999999,104.7,0.127355,0.713548,104.7,0.00303
82.88,41.44,120.4,0.193548,0.401032,120.4,0.00987
