iteration,random_obj0_mean,random_obj0_stde,random_obj1_mean,random_obj1_stde,deap_obj0_mean,deap_obj0_stde,deap_obj1_mean,deap_obj1_stde,gryffin_adam_obj0_mean,gryffin_adam_obj0_stde,gryffin_adam_obj1_mean,gryffin_adam_obj1_stde,gryffin_genetic_obj0_mean,gryffin_genetic_obj0_stde,gryffin_genetic_obj1_mean,gryffin_genetic_obj1_stde,gpyopt_obj0_mean,gpyopt_obj0_stde,gpyopt_obj1_mean,gpyopt_obj1_stde
1,0.8410033977031708,0.010060051199221145,0.016928051562867644,0.0006783027580220908,0.8442684870958328,0.00996852830221173,0.019269563094387276,0.0007667405813180428,0.8575830900669098,0.010401196489988015,0.017904458715950932,0.0007318249623730095,0.835058961212635,0.011774094905389361,0.01840437663814121,0.0007345524430775956,0.832368016242981,0.011369186985187966,0.01904711934255981,0.0007932632734336734
2,0.8962697058916091,0.006549390284416931,0.01793424906705753,0.0006092016355412025,0.8999205446243286,0.005509855423576203,0.017955119964677406,0.0007884070975479198,0.8895804446935653,0.00805602199774664,0.015666452662166916,0.000866416220177141,0.8850586861371994,0.008800773396767181,0.015471587241817552,0.0010136381419459264,0.8977855050563812,0.005293914002191131,0.018410362195386182,0.0007750640572034512
3,0.9170911055803299,0.003515993698748807,0.017261884491547207,0.000699649371674958,0.9187835049629212,0.0036449283553341453,0.01577970151239938,0.0007825699321300056,0.9034026575088501,0.006216890192929719,0.014711629730850115,0.00089902710823204,0.8989108520746231,0.0074157871604844956,0.015439055507669417,0.0010087359259860916,0.9213782346248627,0.003436266591588659,0.017575804747932227,0.000754013129055368
4,0.9249421906471252,0.0028718212542853208,0.015957162537066277,0.0007122775284411592,0.9273753780126571,0.0025467371326480187,0.014458636383614337,0.0007236273047478421,0.9180256175994873,0.004820371068845946,0.01339194083807082,0.0009332581409318506,0.9180348241329193,0.004570410752041911,0.014266297638666043,0.0009890166415222627,0.9283858174085617,0.0025750787441848146,0.016241666573252916,0.0007090540416976691
5,0.9300735598802566,0.002317502364427586,0.01449256583984359,0.0006727360146236998,0.9305102729797363,0.0021247018256145985,0.013541183890317278,0.0007042057362455377,0.9228308779001236,0.0036655058448262995,0.013185889924477358,0.0009321858284460626,0.9252532500028611,0.0036207590573969256,0.013756117153641547,0.000962343697045024,0.9311399728059768,0.002339969438022538,0.014494227051282414,0.0006617413214874509
6,0.9317382484674454,0.002042339566370233,0.013631077907092093,0.0006414031408320762,0.9307292485237122,0.0021279706333276836,0.013017410332081855,0.0006752840453308494,0.9296835762262344,0.003110937304756565,0.012945310974065255,0.0008826277172284469,0.9304472368955612,0.0026390286236984235,0.012575626511322444,0.0009311670314120754,0.9326400500535965,0.002190050494138925,0.01440767031065957,0.0006592609085498082
7,0.9334457111358643,0.0020032521107563347,0.012936984428227214,0.0006516393024805691,0.9308838206529617,0.002063543227859219,0.01176597701522274,0.0006056427897154934,0.9301791942119598,0.0029612650469048847,0.012547740400409268,0.0008821412400819457,0.9314926397800446,0.0025632803314643428,0.012486444181588278,0.0009287951823629687,0.9326984804868698,0.0022224696803567596,0.013957650822210161,0.0006624566161499014
8,0.9343304753303527,0.002023181355526088,0.01180308581299758,0.0005454964890521961,0.9324139857292175,0.0019150195792062472,0.011277777842605457,0.0005877426414659781,0.9317705255746841,0.0027047868632004758,0.011465959588969964,0.0008197191612040518,0.9325858646631241,0.0025013845242107357,0.01113181420980684,0.0008040567971208916,0.9363774538040162,0.0021337706812033256,0.01367193997601775,0.0006953847953431507
9,0.9342212361097336,0.002056949252271098,0.01129323308032618,0.0005161396430484925,0.9318502360582351,0.0018818337453875979,0.010875064092510269,0.0005817972678722374,0.9340092748403549,0.0026297896940468335,0.01125019738495739,0.0008252017239030482,0.933300734758377,0.002422596606588759,0.010781590877792548,0.0007984411409670715,0.9370068830251693,0.002076109411492385,0.0129834419327196,0.000668721674307971
10,0.9351251006126404,0.001974258802595532,0.01105972805755524,0.0005247089262774444,0.9320535099506378,0.0019478355784491009,0.010396871492365536,0.0005338009153765567,0.9369485354423523,0.002227741773185037,0.00975607499501873,0.0007169795558773656,0.9337861657142639,0.0023375215876778196,0.010401450615117689,0.0007624985603624842,0.9378666597604751,0.0021156753447366286,0.012502429296588633,0.000647992614850123
