x1,x2,x3,v1,v2,v3,f,fobj,fcon1,fcon2
89.838,127.162,120.0,-0.099871,0.7,120.0,0.5127752627944449,0.037132,0.06564299999999999,2.4774580000000004
65.3884,42.6916,147.85,0.12193499999999999,0.348645,147.85,0.4374557051736357,0.030151999999999998,0.07015700000000001,3.251656
116.34223999999999,66.77776,124.25,0.157161,0.5907100000000001,124.25,0.0,0.0104,0.093721,5.807995
112.0238,186.1762,140.0,-0.144387,0.961935,140.0,1.2621223178699035,0.239711,0.240995,0.55196
191.402027,108.75797299999999,107.1,0.159871,0.968258,107.1,0.5763317652847416,0.0022760000000000002,0.34974,20.400136
40.3648,33.8352,121.1,0.051097000000000004,0.239355,121.1,0.48497505981588873,0.034318,0.052998,2.571992
110.47344,191.36656000000002,145.8,-0.155613,0.973677,145.8,1.5141439031891044,0.295452,0.295452,0.417293
71.465053,101.294947,132.15,-0.100258,0.55729,132.15,0.9950359993730924,0.177315,0.178155,0.697986
163.29012,129.86988,100.0,0.066194,0.945677,100.0,0.8099204645137212,0.002663,0.413317,24.032031
47.7218,76.8782,113.55,-0.135871,0.401935,113.55,0.6470702663646849,0.05696900000000001,0.066768,1.7816049999999999
86.23944,92.68056,136.0,-0.020903,0.5771609999999999,136.0,0.7970077190012061,0.10846900000000001,0.11108599999999999,1.160211
23.075267,32.084733,127.95,-0.09483899999999999,0.17793499999999998,127.95,0.970783896189198,0.171008,0.171443,0.71636
90.295147,95.624853,103.55,-0.016645,0.599742,103.55,-0.013732184755410048,0.006365999999999999,0.176903,10.539171000000001
173.4054,108.5546,116.7,0.133548,0.9095479999999999,116.7,-0.10902536990342834,0.004393,0.162124,9.138473
206.64,103.32,140.0,0.193548,0.999871,140.0,0.0932320026976776,0.013000999999999999,0.103926,5.467117
67.624667,52.775332999999996,100.0,0.071613,0.388387,100.0,0.008495162888911306,0.002822,0.21033200000000002,13.433851
112.15903999999999,62.00096,100.0,0.16722599999999999,0.561806,100.0,0.5558674696607813,0.0009449999999999999,0.351933,27.286421999999998
206.64,103.32,108.95,0.193548,0.999871,108.95,0.5599159386587391,0.001,0.352686,22.245729
164.64,82.32,124.75,0.193548,0.7966449999999999,124.75,-0.08528957616721457,0.007543000000000002,0.12678599999999998,7.537236
143.2046,118.5954,133.35,0.054581,0.8445159999999999,133.35,0.5305164319248826,0.039102,0.06392300000000001,2.554823
94.85,80.15,141.95,0.048774,0.564516,141.95,0.6305293321890411,0.053747,0.06681000000000001,2.0636360000000002
66.64,33.32,126.7,0.193548,0.322452,126.7,-0.02763953755455167,0.009678,0.09947,6.30175
206.64,103.32,146.05,0.193548,0.999871,146.05,0.12031736073781656,0.013859,0.10454400000000001,5.309928
154.67004,155.28996,122.35,-0.001161,0.999871,122.35,0.317937701396348,0.02224,0.067672,3.6713379999999995
94.826667,47.413333,118.9,0.193548,0.4588390000000001,118.9,-0.1546704738494113,0.005376,0.121755,7.846738
128.24,64.12,119.15,0.193548,0.620516,119.15,-0.18247144622659517,0.003796,0.132977,8.534321
98.75264,111.80736,100.0,-0.036000000000000004,0.679226,100.0,0.10699644933998637,0.001891,0.240064,15.29548
98.453693,165.026307,110.0,-0.14670999999999998,0.849935,110.0,0.16444619888812137,0.015399000000000001,0.074072,4.423926
108.453333,54.226667000000006,124.75,0.193548,0.524774,124.75,-0.015539002452472514,0.009966,0.10753399999999999,6.287464
145.47456,164.48543999999995,105.0,-0.035613,0.999871,105.0,0.0683191095251087,0.0032189999999999996,0.22322600000000006,12.691724
206.64,103.32,112.95,0.193548,0.999871,112.95,0.2714548408997901,0.0021449999999999998,0.277071,16.565372
127.493333,63.746667,116.0,0.193548,0.616903,116.0,-0.13474213929330164,0.003909,0.156622,9.645728
160.72,80.36,116.35,0.193548,0.7776770000000001,116.35,-0.10156108696917493,0.002301,0.182371,10.897675999999999
33.30768,43.97232,106.8,-0.08012899999999999,0.24929,106.8,0.40488742063213146,0.027681,0.05356,2.752164
37.841066999999995,63.518933,137.55,-0.147097,0.326968,137.55,1.5495755637304711,0.302476,0.30333899999999997,0.361796
142.24,71.12,122.45,0.193548,0.688258,122.45,-0.08709183006678096,0.007522,0.1258,7.448502
103.32,206.64,113.2,-0.193548,0.999871,113.2,0.4084218371529719,0.027936000000000002,0.06627999999999999,3.141207
