exp_name,method,function,soft_function1,soft_function2,xy_max,xy_min,max_ratio,min_ratio,z_max,z_min,F1_1,F1_2,F2_1,F2_2,sigma1,sigma2,f0,Delta
runI,normal,[X3],,,310,30,2,0.5,150,100,,,,,,,,
runII,soft,[X3],1 - [X1] - [X2],,310,30,2,0.5,150,100,0,,0.1,,0.3,0.3,0.0128,0.0434
runIII,soft,[X3],1 - [X1] - [X2],[X1] / [X2],310,30,2,0.5,150,100,0,4,0.1,inf,0.3,0.3,0.0104,0.0254
runIV,soft,[X3],1 - [X1] - [X2],[X1] / [X2],310,30,2,0.5,150,100,0,0,0.1,0.5,0.3,0.3,0.8546,0.6753
runV,soft,[X3],1 - [X1] - [X2],[X1] / [X2],310,30,2,0.5,150,100,0,0,0.1,1.5,0.3,0.3,0.0849,0.3005
runVI,soft,[X1] / [X2],1 - [X1] - [X2],,310,30,2,0.5,150,100,0,,0.1,,0.3,0.3,1.3931,1.1685
